FL_DATE,FL_NUM,ORIGIN,DEST,CANCELLED
1/20/2011,6474,ABQ,LAX,0
1/27/2011,6474,ABQ,LAX,0
1/17/2011,6474,ABQ,LAX,0
1/10/2011,6474,ABQ,LAX,0
1/7/2011,6474,ABQ,LAX,0
1/14/2011,6474,ABQ,LAX,0
1/13/2011,6474,ABQ,LAX,0
1/31/2011,6474,ABQ,LAX,0
1/28/2011,6474,ABQ,LAX,0
1/3/2011,3661,ABQ,SAN,0
1/4/2011,3661,ABQ,SAN,0
1/5/2011,2871,ABQ,OAK,0
1/6/2011,2871,ABQ,OAK,0
1/7/2011,2871,ABQ,OAK,0
1/1/2011,6744,ABQ,LAX,0
1/3/2011,6284,ABQ,LAX,1
1/2/2011,6284,ABQ,LAX,0
1/3/2011,42,ABQ,OAK,0
1/4/2011,42,ABQ,OAK,0
1/2/2011,3269,ABQ,LAX,0
1/9/2011,48,ABQ,LAX,0
1/10/2011,48,ABQ,LAX,0
1/11/2011,48,ABQ,LAX,0
1/12/2011,48,ABQ,LAX,0
1/13/2011,48,ABQ,LAX,0
1/14/2011,48,ABQ,LAX,0
1/16/2011,48,ABQ,LAX,0
1/17/2011,48,ABQ,LAX,0
1/18/2011,48,ABQ,LAX,0
1/19/2011,48,ABQ,LAX,0
1/20/2011,48,ABQ,LAX,0
1/21/2011,48,ABQ,LAX,0
1/23/2011,48,ABQ,LAX,0
1/24/2011,48,ABQ,LAX,0
1/25/2011,48,ABQ,LAX,0
1/26/2011,48,ABQ,LAX,0
1/27/2011,48,ABQ,LAX,0
1/28/2011,48,ABQ,LAX,0
1/30/2011,48,ABQ,LAX,0
1/31/2011,48,ABQ,LAX,0
1/2/2011,2771,ABQ,OAK,0
1/5/2011,1654,ABQ,LAX,0
1/6/2011,1654,ABQ,LAX,0
1/7/2011,1654,ABQ,LAX,0
1/3/2011,983,ABQ,LAX,0
1/4/2011,983,ABQ,LAX,0
1/2/2011,6612,ACV,SMF,0
1/3/2011,6612,ACV,SMF,0
1/24/2011,6630,ACV,SMF,0
